group,names,scores,logfoldchanges,pvals,pvals_adj
0,CCBE1,24.252672,0.8509593,6.196616176592844e-130,6.196616176592844e-127
0,RP11-188D8.1,22.459661,1.3609298,1.029684466591617e-111,5.148422332958084e-109
0,CRABP2,21.63538,1.1921934,8.345974240808382e-104,2.781991413602794e-101
0,BMP4,21.079065,1.096308,1.2380654468117728e-98,2.4761308936235457e-96
0,CES1,20.887505,0.8426715,6.956078950948803e-97,9.937255644212575e-95
0,GPR12,20.651,1.9094585,9.562269153664903e-95,1.1952836442081128e-92
0,LINC01117,18.705252,1.0757549,4.486075141073676e-78,1.8691979754473648e-76
0,GPC3,17.55744,1.0452689,5.217545333486698e-69,1.4907272381390564e-67
0,RPL10,17.02077,0.2180628,5.760847624686783e-65,1.1756831887115883e-63
0,FIGF,16.721224,0.9175286,9.181363413952446e-63,1.7656468103754706e-61
0,LINC00379,16.717583,2.5519893,9.759939109848753e-63,1.8414979452544817e-61
0,NPW,16.623817,0.5695698,4.685250511577737e-62,8.67638983625507e-61
0,MEIS2,16.236435,0.76740843,2.7865787958546595e-59,4.287044301314861e-58
0,NTF3,16.066029,0.5443507,4.414744908985905e-58,6.306778441408434e-57
0,RIPPLY1,15.929721,2.427102,3.9411216757191344e-57,5.185686415419914e-56
0,PDGFRA,15.795427,0.57532245,3.3451890684951967e-56,4.2344165423989835e-55
0,HES7,15.514829,1.8233918,2.753684748879979e-54,3.2396291163293873e-53
0,HBD,15.388439,0.7144349,1.9569576308357163e-53,2.2238154895860412e-52
0,RP11-110I1.14,15.319627,0.92190844,5.65415711536955e-53,6.352985522887135e-52
0,IGF1,15.084516,0.6959505,2.0477178047116052e-51,2.1110492832078402e-50
0,KCNN1,15.04174,0.59520555,3.911321418423293e-51,3.8346288415914637e-50
0,SERPINF1,15.019345,0.7469955,5.484709779492524e-51,5.273759403358196e-50
0,TBX2-AS1,14.765094,0.67998475,2.4598049021210012e-49,2.2160404523612622e-48
0,AF131217.1,14.689229,0.841092,7.556878310846337e-49,6.628840623549418e-48
0,OSR1,14.595308,0.62689114,3.008481078693408e-48,2.528135360246562e-47
0,RPL34,14.449391,0.28054386,2.529114192735371e-47,2.0561904005978628e-46
0,FGA,14.423509,1.7781518,3.6814036480171025e-47,2.8987430299347263e-46
0,PEG10,14.302699,0.5430795,2.1048571217932034e-46,1.606761161674201e-45
0,ALX3,14.132294,0.77962327,2.4019086286052376e-45,1.753217977084115e-44
0,PAX1,14.072625,0.7324055,5.595320871251777e-45,4.0545803414867944e-44
0,KIAA1614,13.95414,0.5154628,2.968617092246776e-44,2.0759560085641794e-43
0,CYP26B1,13.905785,0.59686,5.842250516230684e-44,4.001541449473071e-43
0,HLF,13.888117,1.1209362,7.477573911795215e-44,5.08678497401035e-43
0,TBX5,13.83364,0.7667108,1.5972941555932404e-43,1.0792528078332706e-42
0,BDNF,13.518479,0.5355205,1.2166400560835347e-41,7.651824252097702e-41
0,PTGER2,13.497635,0.60861516,1.6147818598660924e-41,1.0029700992957096e-40
0,ENPP3,13.054845,0.8434095,5.963117321103005e-39,3.3500659107320255e-38
0,DMRT2,13.03121,0.52271336,8.130785322399405e-39,4.542338168938215e-38
0,GAS2,12.992309,0.5607526,1.3528291291490022e-38,7.433127083236276e-38
0,MSC,12.904278,0.697315,4.2578658910765444e-38,2.289175210256207e-37
0,WFDC1,12.790985,0.7732063,1.8412564118524199e-37,9.690823220275893e-37
0,SPOCK3,12.747356,0.4858954,3.2249502140803327e-37,1.6796615698335064e-36
0,HOXA10,12.714268,0.68267816,4.927030388226911e-37,2.5266822503727744e-36
0,ALDH1A2,12.684976,0.59957886,7.163597139141285e-37,3.65489649956188e-36
0,HOXC5,12.669865,0.6178004,8.686391081939914e-37,4.4093355745887886e-36
0,ALX1,12.606167,0.57075906,1.9526221779917108e-36,9.763110889958553e-36
0,LDHA,12.532394,1.3491557,4.9641207601280535e-36,2.433392529474536e-35
0,BRINP3,12.4380865,0.4819638,1.6234700208572678e-35,7.842850342305642e-35
0,RASL11B,12.419488,0.3170902,2.0486786600276524e-35,9.84941663474833e-35
0,DUSP2,12.327815,0.6191361,6.416291331874832e-35,3.055376824702301e-34
0,ZNF503,12.244202,0.40955544,1.8044470488050662e-34,8.471582388756179e-34
0,IL37,12.220101,0.94510865,2.4278204599747018e-34,1.1292188185928846e-33
0,RP11-1109F11.5,12.18926,0.5044472,3.546292340400997e-34,1.6267396056885307e-33
0,USP18,12.1507845,1.1286018,5.6817636220171655e-34,2.5593529828906152e-33
0,FHL2,12.119672,0.5699403,8.309136361218658e-34,3.726070117138412e-33
0,LINC01102,12.071627,0.51316977,1.4915653090406557e-33,6.629179151291803e-33
0,TWIST2,12.054889,0.60477316,1.827800438711285e-33,8.074734852039914e-33
0,RASSF9,12.0087805,0.32046515,3.195216847238737e-33,1.3892247161907552e-32
0,TPD52L1,11.933226,0.43745837,7.943443533754328e-33,3.4387201444823927e-32
0,PRRX1,11.917727,0.636363,9.568291166803746e-33,4.106562732533796e-32
0,TBX3,11.726865,0.64207876,9.28339716417331e-32,3.8361145306501283e-31
0,GAPDH,11.648211,0.18189731,2.343283569924954e-31,9.52554296717461e-31
0,LHX9,11.548865,0.553252,7.4801247843233415e-31,3.0161793485174765e-30
0,GSC,11.426041,0.48246527,3.0992022333253793e-30,1.2249811198914542e-29
0,PRSS1,11.26509,5.7212596,1.9515278866756655e-29,7.564061576262269e-29
0,HOXD11,11.126456,0.62925684,9.326977730277564e-29,3.5463793651245487e-28
0,OSR2,11.094143,0.5097272,1.3393831322379762e-28,5.054275970709344e-28
0,CXCL10,10.948535,2.205049,6.753095180198394e-28,2.4736612381679097e-27
0,DNM3OS,10.940708,0.522277,7.362244001461688e-28,2.677179636895159e-27
0,ISM1,10.8763895,0.6228563,1.4936169770972074e-27,5.3727229391985876e-27
0,HOXA9,10.875848,0.5338306,1.5025286122747857e-27,5.385407212454428e-27
0,WIF1,10.861899,0.5736808,1.750702355645683e-27,6.208164381722281e-27
0,CTD-2521M24.8,10.837799,0.33400834,2.27887876822558e-27,7.996065853423089e-27
0,MT1M,10.757052,,5.4898170029466776e-27,1.9061864593564855e-26
0,HBG2,10.6722765,0.48082492,1.37223239071913e-26,4.715575225838935e-26
0,RP11-382A20.7,10.63384,0.5196374,2.0739338613260434e-26,7.102513223719328e-26
0,IGFBP6,10.624386,0.4913817,2.2951758586578767e-26,7.833364705316986e-26
0,SNCG,10.601564,0.5722244,2.930362410086017e-26,9.933431898596669e-26
0,RGS2,10.550846,0.43789387,5.034171329451942e-26,1.6780571098173142e-25
0,RUNX2,10.534612,0.49090803,5.982981313781705e-26,1.9877014331500684e-25
0,RP11-327J17.9,10.507838,0.4203086,7.949504088760692e-26,2.6149684502502276e-25
0,HOXA-AS3,10.492262,2.5465953,9.375640081636356e-26,3.073980354634871e-25
0,CTSC,10.401054,0.37579045,2.4520568491640483e-25,7.884427167730059e-25
0,EDN3,10.377187,0.6187002,3.1491940055068506e-25,1.0093570530470675e-24
0,FAP,10.141843,0.4750196,3.602370329906024e-24,1.1050215735908048e-23
0,MAB21L1,10.124175,0.5017187,4.3160259347625986e-24,1.315861565476402e-23
0,SIX1,10.020878,0.4841691,1.2340144680355995e-23,3.694654095914968e-23
0,SFRP1,9.969036,0.6893084,2.0823989263111352e-23,6.179225300626514e-23
0,TMEM100,9.961442,0.42482775,2.2477870111146065e-23,6.650257429333155e-23
0,APOC3,9.88147,0.6134203,5.00925321050964e-23,1.464693921201649e-22
0,RP11-834C11.4,9.865894,0.6280076,5.851072364542446e-23,1.7008931292274553e-22
0,ISL1,9.858455,1.0533977,6.301145943025546e-23,1.8211404459611405e-22
0,SLC35D3,9.698357,1.8013802,3.0639393364903516e-22,8.630815032367187e-22
0,PRSS2,9.690064,5.3861384,3.323174215116342e-22,9.308611246824487e-22
0,TGFBI,9.664957,0.49385643,4.247962237076764e-22,1.183276389157873e-21
0,WNT16,9.64419,0.5057695,5.202042963833662e-22,1.4410091312558622e-21
0,HOXA7,9.576849,0.43714812,1.0005069962990485e-21,2.7411150583535575e-21
0,AHSG,9.49308,0.45633498,2.243062235293172e-21,6.062330365657222e-21
0,CH25H,9.486261,0.36287516,2.3947009023350157e-21,6.4373680170296125e-21
0,CA9,9.458054,0.3791,3.1372771140420018e-21,8.366072304112005e-21
0,RP11-753H16.3,9.369248,1.5269855,7.305111985835795e-21,1.9376954869590968e-20
0,MPPED2,9.359484,0.32558486,8.012702699253732e-21,2.1197626188501938e-20
0,PCOLCE,9.320273,0.65154594,1.160412612933247e-20,3.0457023961502543e-20
0,HOTAIRM1,9.303225,0.46348426,1.3624920705028744e-20,3.566733168855692e-20
0,AGTR2,9.097716,0.48021555,9.225132211923969e-20,2.377611394825765e-19
0,BIRC7,8.950326,1.5694095,3.5443324723570434e-19,9.04166447029858e-19
0,KCNF1,8.941957,0.5489173,3.8233797537755243e-19,9.728701663550952e-19
0,DPT,8.933782,0.52382576,4.1168923894888465e-19,1.0448965455555447e-18
0,RP11-290H9.5,8.711574,0.3522163,2.9968566083184507e-18,7.39964594646531e-18
0,SERPINA1,8.704211,0.7492235,3.1978977443260703e-18,7.876595429374557e-18
0,APOB,8.664226,0.6527384,4.54591680203135e-18,1.1141952946155271e-17
0,VWC2,8.57945,0.4191757,9.53282367747385e-18,2.3137921547266627e-17
0,COL6A1,8.577977,0.17672724,9.655609788075006e-18,2.3379200455387423e-17
0,NDUFA4L2,8.572359,0.74645185,1.0138644151723146e-17,2.4489478627350596e-17
0,AC007325.4,8.561704,0.24880573,1.1121155921656193e-17,2.673354788859662e-17
0,GLT8D2,8.509164,0.52097994,1.7519146824869337e-17,4.151456593570933e-17
0,APOC1,8.482895,0.41045907,2.1965982742260403e-17,5.1929037215745634e-17
0,NFIB,8.399513,0.38463914,4.483337060150027e-17,1.0450669137878851e-16
0,RBP4,8.312877,0.37411878,9.340929154756605e-17,2.1572584653017565e-16
0,APOA2,8.210897,0.9659926,2.1954111945484535e-16,5.035346776487279e-16
0,ZG16,8.129531,0.53736,4.309546715567233e-16,9.794424353561894e-16
0,PGF,8.11535,0.36852962,4.843869816873491e-16,1.098383178429363e-15
