group,names,scores,logfoldchanges,pvals,pvals_adj
0,Elane,32.76949,6.424226,1.6025443657435627e-235,2.5993269612360586e-232
0,Prtn3,30.435774,4.516717,1.8480446375917438e-203,1.4987642010869043e-200
0,Mpo,29.992369,5.389893,1.2340959801422664e-197,6.67234559930252e-195
0,Ctsg,28.598347,4.312377,7.044380567927328e-180,2.8564963202945314e-177
0,Gstm1,27.398127,4.0276732,2.887234027835172e-165,9.366187186297298e-163
0,Plac8,22.946995,2.404333,1.5789029737634675e-116,4.268301039073907e-114
0,Slpi,21.380848,3.4813259,2.0143594412667746e-101,4.667558591049584e-99
0,Dmkn,21.133059,3.5066593,3.951067696018878e-99,8.010789753678275e-97
0,Gda,20.860785,3.8190262,1.2165779831812332e-96,2.1925438763555115e-94
0,Gfi1,20.731274,4.55956,1.809397623409392e-95,2.9348429451700335e-93
0,Sgms2,20.689568,5.7515845,4.300469493733184e-95,6.341237744395659e-93
0,Msrb1,19.97647,2.892709,8.824507057672935e-89,1.192779203962125e-86
0,Prdx5,19.491135,2.7629855,1.3055500479502343e-84,1.628924752134831e-82
0,Fcgr3,18.599274,2.9743009,3.256898467324192e-77,3.7733495099998853e-75
0,Igsf6,17.86399,3.3579676,2.2496288812409106e-71,2.4325986969151714e-69
0,Wfdc21,16.629044,3.8110373,4.29390251222303e-62,4.352943671766097e-60
0,Lipg,16.13389,4.8353596,1.4743267772224206e-58,1.4066811956792744e-56
0,Sorl1,15.212326,2.6330805,2.9294598689491746e-52,2.639768837464201e-50
0,Mgst2,15.0330515,3.7921221,4.459762234162794e-51,3.807228602006343e-49
0,Serpinb1a,14.71618,1.9646153,5.075324339186289e-49,4.1160880390800807e-47
0,Hp,14.556992,2.8900838,5.272732671307895e-48,4.0725582823149556e-46
0,Pygl,14.536565,3.286757,7.107036673537656e-48,5.2398243111263996e-46
0,Mgst1,14.140907,3.3493571,2.1252519807072997e-45,1.4987646576988e-43
0,Rps27rt,13.9803295,2.1844847,2.0553357346118927e-44,1.3890644006418708e-42
0,Cebpe,13.783665,6.9479485,3.196280609619026e-43,2.073746859520824e-41
0,Ccl9,13.589183,1.7149767,4.6423176188244655e-42,2.8960919914358784e-40
0,Itgb2,13.549351,2.018916,7.993390120186985e-42,4.801955101830848e-40
0,Myo1f,12.938303,2.101451,2.736054266942084e-38,1.5303034555103657e-36
0,Ly6c2,12.778009,4.3375645,2.175679295769151e-37,1.1763172725791876e-35
0,Lcn2,12.7005005,3.694216,5.875288693198316e-37,3.074102664634732e-35
0,Cd93,12.576577,1.674174,2.8407358683552514e-36,1.439897993272568e-34
0,Itgam,12.158734,2.4202263,5.155142119846463e-34,2.4593060348208716e-32
0,Ftl1,12.046726,1.6419486,2.0180620059271517e-33,9.352275924610971e-32
0,Hsd11b1,11.357036,5.306012,6.842739243948057e-30,3.083034181578819e-28
0,Vsir,10.574771,2.38179,3.901295936299812e-26,1.710243786129269e-24
0,Cyp11a1,10.518881,1.9357675,7.070853913210944e-26,3.0181381703231974e-24
0,Rhoj,10.506397,2.6665237,8.071815252045047e-26,3.35704726636335e-24
0,Mt1,10.373452,1.4110643,3.274743883072242e-25,1.3279086445857942e-23
0,Tbc1d8,10.334868,2.4090557,4.900835687653667e-25,1.9388184110668898e-23
0,Lgals1,10.157042,1.2439497,3.0829046780612902e-24,1.1905884256703363e-22
0,Sirpa,10.063191,1.1041418,8.03508846566406e-24,3.030910114257466e-22
0,Olfml2b,9.907918,4.106153,3.845753461895738e-23,1.4176845716352016e-21
0,Ceacam1,9.384139,3.3029146,6.3432600879103065e-21,2.236688665780547e-19
0,Tyrobp,9.267223,1.442069,1.9105456696159346e-20,6.593415055568183e-19
0,Ctsd,9.117256,1.0889196,7.705040455395738e-20,2.603661587219143e-18
0,Pde2a,9.027434,3.8472497,1.7574347996440218e-19,5.817467846984905e-18
